ident,lat,lon,label,type
05ME,44.6570,-67.5592,Jonesboro,small_airport
05MI,42.2364,-83.2764,Taylor,heliport
05MN,47.5175,-92.2303,Aurora,heliport
05MS,32.3297,-90.1627,Jackson,heliport
05MT,45.8154,-111.1522,Belgrade,small_airport
05NE,41.7222,-98.3090,Spalding,small_airport
05NH,42.9239,-70.9514,Kensington,heliport
05NJ,40.7134,-74.0320,Jersey City,heliport
05NR,36.1684,-79.2769,Mebane,small_airport
05NV,39.0311,-114.0882,Baker,small_airport
05NY,43.5520,-76.0902,Pulaski,heliport
05OG,44.0595,-123.1190,Eugene,heliport
05OH,40.1845,-81.9206,Conesville,small_airport
05OI,41.2884,-81.9626,Columbia Station,small_airport
05OR,45.4443,-117.3472,Enterprise,small_airport
05PA,39.9548,-75.1782,Philadelphia,heliport
05PN,40.3001,-76.8580,Harrisburg,heliport
05PS,40.1431,-77.8622,Neelyton,small_airport
05S,45.8515,-123.2420,Vernonia,small_airport
05TA,29.8091,-96.2651,Sealy,small_airport
05TE,30.7221,-97.7914,Georgetown,small_airport
05TS,33.1293,-97.3586,Justin,small_airport
05TX,32.1290,-97.4046,Blum,small_airport
K05V,37.4111,-105.5520,Blanca,small_airport
05VA,37.2242,-78.4186,Farmville,small_airport
05VT,45.0133,-73.0867,Highgate Springs,heliport
05WA,47.6482,-117.4140,Spokane,heliport
05WI,42.6511,-88.7459,Darien,small_airport
05WN,48.7022,-118.0475,Kettle Falls,small_airport
05XA,35.8636,-101.9709,Dumas,heliport
05XS,33.0795,-91.5614,Wilmot,small_airport
05Y,46.3038,-95.4395,Henning,small_airport
06AA,60.5403,-150.8138,Sterling,small_airport
06AK,61.6276,-149.5753,Wasilla,small_airport
06AL,31.3884,-85.9724,Fort Rucker/New Brockton,heliport
06AR,35.5445,-92.1849,Higden,small_airport
06AZ,33.2884,-111.7522,Gilbert,heliport
06B,44.9070,-68.8050,Glenburn,seaplane_base
06CA,34.8689,-116.8320,Daggett,heliport
06CL,34.1573,-118.2888,Glendale,heliport
06CO,37.3858,-103.6915,Branson,small_airport
06CT,41.9068,-71.9128,Putnam,heliport
06FA,26.9084,-80.3289,Jupiter,small_airport
06FD,28.6417,-81.8850,Mascotte,small_airport
06FL,27.9535,-82.8062,Clearwater,heliport
06GA,33.7534,-84.1621,Redan,heliport
06I,38.4334,-86.6911,French Lick,seaplane_base
06IA,41.8414,-91.8343,Walford,small_airport
06ID,43.4627,-116.3590,Kuna,small_airport
06IL,41.5995,-88.8699,Earlville,small_airport
06IS,40.5464,-91.2743,Nauvoo,small_airport
06KS,37.6958,-97.3725,Wichita,heliport
06LA,29.8461,-90.0322,Belle Chasse,heliport
06LS,30.7079,-91.3202,St Francisville,heliport
06MA,42.6906,-71.6090,Pepperell,heliport
06MD,39.2914,-76.5463,Baltimore,heliport
06ME,44.4152,-70.8443,Bethel,heliport
06MI,42.2510,-84.3913,Jackson,heliport
06MO,39.2306,-94.8044,Waldron,small_airport
06MT,48.5587,-112.1171,Ethridge,small_airport
K06N,41.4320,-74.3916,Middletown,small_airport
06NC,34.8275,-78.9303,St. Pauls,small_airport
06ND,46.7489,-101.6690,Glen Ullin,small_airport
06NE,40.6800,-95.8617,Nebraska City,heliport
06NH,42.9284,-70.9731,Kensington,small_airport
06NV,39.0983,-114.1503,Baker,small_airport
06NY,42.8368,-76.4376,Auburn,small_airport
06O1,41.1148,-80.6570,Youngstown,heliport
06OH,41.5098,-80.5912,Williamsfield,small_airport
06OI,39.7348,-84.3822,New Lebanon,small_airport
06OK,36.5417,-94.8336,Grove,heliport
06OR,45.4651,-123.0800,Forest Grove,small_airport
06PA,41.9958,-78.2882,Ceres,small_airport
06PN,40.3827,-76.7725,Harrisburg,heliport
06TA,30.9085,-97.1169,Buckholts,small_airport
06TE,30.3127,-95.0269,Cleveland,small_airport
06TN,35.6970,-86.9578,Columbia,small_airport
06TT,30.8600,-100.2020,Fort McKavett,small_airport
06TX,30.0579,-95.8125,Hockley,small_airport
06VA,38.2490,-78.8553,Grottoes,small_airport
06WA,47.6863,-117.1980,Spokane,heliport
06WN,46.9250,-122.5530,Yelm,small_airport
06XA,33.4459,-96.5708,Van Alstyne,small_airport
06XS,33.3229,-97.0450,Aubrey,small_airport
06Y,45.8300,-96.1606,Herman,small_airport
07AA,61.6960,-149.9549,Willow,small_airport
07AL,31.1252,-85.9791,Fort Rucker/Samson,heliport
07AN,62.8256,-149.9108,Trapper Creek,small_airport
07AR,35.1943,-92.8025,Morrilton,small_airport
07B,44.4480,-68.5697,Blue Hill,small_airport
07CL,39.4977,-121.7710,Richvale,small_airport
07CO,39.2636,-104.4270,Kiowa,small_airport
07FA,25.3254,-80.2748,Key Largo,medium_airport
07GA,33.6743,-83.7646,Covington,small_airport
07GE,31.5557,-83.2785,Ocilla,small_airport
07I,39.0587,-86.4461,Bloomington,seaplane_base
07IA,40.6479,-95.0213,Shambaugh,small_airport
07II,39.0106,-85.6408,North Vernon,heliport
07IN,39.5737,-85.9139,Boggstown,small_airport
07K,41.1126,-98.0517,Central City,small_airport
07KS,37.7342,-96.9367,Augusta,small_airport
07KY,38.0806,-85.6933,Louisville,small_airport
07LS,32.5183,-91.9891,Monroe,heliport
07MA,41.9170,-70.7095,Plymouth,heliport
07MD,39.6083,-77.0519,Westminster,small_airport
07ME,43.7383,-70.3392,Westbrook,heliport
07MN,44.0550,-95.9095,Hadley,small_airport
07MO,38.6556,-93.6245,Warrensburg,small_airport
07MT,48.4211,-106.5280,Glasgow,small_airport
K07N,40.0168,-77.0039,Washington Township,small_airport
07NC,34.8332,-80.7512,Waxhaw,small_airport
07NH,43.1756,-72.0639,Washington,seaplane_base
07NJ,40.7937,-73.9949,North Bergen,heliport
07NV,39.1022,-114.0535,Baker,small_airport
07NY,42.6664,-74.7650,Monticello,heliport
07OK,34.6334,-99.0337,Snyder,small_airport
07OR,45.4218,-122.6200,Milwaukie,small_airport
07PN,40.9989,-78.1253,Grassflat,small_airport
07TA,29.2405,-95.3447,Danbury,small_airport
07TS,30.6254,-97.5714,Hutto,small_airport
07TX,33.2100,-96.4604,Princeton,heliport
07UT,41.7167,-112.4472,Howell,small_airport
07VA,36.8196,-78.7831,Clover,small_airport
07VT,44.4472,-72.9147,Jericho,small_airport
07WA,47.6516,-117.4245,Spokane,heliport
07WY,44.9601,-106.1059,Sheridan,small_airport
07XA,29.9065,-97.2144,Smithville,heliport
07XS,32.5422,-97.3917,Crowley,heliport
07Y,46.9555,-93.5969,Hill City,small_airport
08AK,61.5687,-149.7258,Big Lake,small_airport
08AL,30.2437,-87.7547,Gulf Shores,seaplane_base
08AN,61.7043,-149.2125,Palmer,small_airport
08AZ,33.4177,-111.8388,Mesa,heliport
08B,44.0000,-69.8871,Bowdoinham,small_airport
08CA,38.6952,-120.8261,Placerville,heliport
08CL,37.8583,-120.5521,Jamestown,small_airport
08CN,36.1720,-119.3062,Tulare,heliport
08CO,38.7325,-104.0410,Rush,small_airport
08CT,41.8960,-73.0931,Winsted,seaplane_base
08F,34.5318,-96.2331,Coalgate,small_airport
08FA,26.5798,-81.4837,La Belle,small_airport
08FD,27.3631,-80.7728,Okeechobee,small_airport
08FL,27.0845,-81.3287,Lake Placid,small_airport
08GA,31.4258,-81.2859,Darien,small_airport
08GE,32.1699,-81.4538,Ellabell,heliport
08ID,43.5693,-116.7770,Marsing,small_airport
08II,41.6451,-85.4264,Lagrange,heliport
K02D,41.2231,-85.8306,Winona Lake,seaplane_base
08IS,37.9778,-89.2029,Du Quoin,small_airport
08KS,39.0347,-97.5800,Bennington,small_airport
08KT,37.6284,-87.9470,Morganfield,heliport
08KY,36.9726,-84.6261,Burnside,small_airport
08LA,29.9530,-90.1826,Harahan,heliport
08LL,41.0744,-88.4887,Dwight,small_airport
08LS,30.4083,-92.0334,Sunset,small_airport
08MA,42.2940,-71.4962,Southborough,small_airport
08MD,39.3884,-76.6108,Towson,heliport
08ME,44.8154,-70.3485,Avon,small_airport
08MI,42.7345,-84.5360,Lansing,heliport
08MN,47.6694,-93.0544,Chisholm/Hibbing,seaplane_base
08MO,37.3956,-94.2838,Jasper,small_airport
08MS,34.6615,-89.8696,Coldwater,small_airport
08MT,47.0657,-108.8096,Grass Range,small_airport
08N,40.2918,-76.3288,Lebanon,small_airport
08NC,36.0676,-80.4656,Lewisville,small_airport
08ND,47.3231,-102.0980,Golden Valley,small_airport
08NE,42.4305,-97.0787,Laurel,small_airport
08NH,44.0613,-71.1358,North Conway,heliport
08NJ,40.7626,-74.3040,Livingston,heliport
08NR,35.2175,-82.4260,Zirconia,small_airport
08NY,41.3681,-74.5056,Middletown,small_airport
08OH,41.2917,-80.5637,Hartford,small_airport
08OK,34.9315,-95.2583,Wilburton,small_airport
08OL,35.4081,-98.6055,Hydro,small_airport
08OR,42.8380,-121.1151,Summer Lake,small_airport
08PA,41.0554,-75.5120,Long Pond,heliport
08PN,40.0459,-76.2808,Lancaster,heliport
08R,41.4895,-71.6206,West Kingston,small_airport
08SD,43.3259,-98.3452,Armour,heliport
08TA,29.9784,-98.2584,Fischer,heliport
08TN,35.2989,-86.4744,Fayetteville,small_airport
08TT,30.3088,-99.0222,Fredericksburg,small_airport
08TX,32.8579,-97.7443,Weatherford,small_airport
K08U,41.5157,-115.8600,Elko,small_airport
08UT,38.3350,-109.1352,La Sal,small_airport
08VA,37.5540,-79.7498,Buchanan,small_airport
08XA,30.4793,-96.5040,Snook,small_airport
08XS,29.1081,-95.7775,Old Ocean,small_airport
09AA,62.9699,-150.7537,Talkeetna,heliport
09AK,61.5894,-149.8473,Big Lake,small_airport
09AL,32.8424,-87.8905,Eutaw,heliport
09AR,33.2732,-93.2399,Magnolia,heliport
09AZ,31.9248,-110.0400,St David,small_airport
09CA,36.2055,-121.1325,King City,heliport
09CL,39.1138,-121.0570,Grass Valley,small_airport
09CN,36.1826,-119.3136,Tulare,heliport
09CO,38.0553,-103.6508,Rocky Ford,small_airport
09FA,27.2456,-81.4133,Lake Placid,small_airport
09FD,28.6711,-82.0873,Bushnell,small_airport
09FL,25.9601,-80.2418,Miami Gardens,heliport
09GA,31.1210,-83.6706,Moultrie,small_airport
09I,48.6058,-93.3708,International Falls,seaplane_base
09IA,41.7454,-92.4115,Brooklyn,small_airport
09ID,45.1039,-114.8550,Moscow,small_airport
09II,38.4473,-86.4450,Valeene,small_airport
09IN,41.1233,-85.4250,Columbia City,small_airport
09IS,42.2650,-89.0743,Rockford,heliport
09KS,38.7070,-95.1383,Wellsville,small_airport
09KY,38.2390,-85.6394,Louisville,heliport
09LA,29.1270,-90.2067,Golden Meadow,heliport
09LL,42.4681,-88.7432,Capron,small_airport
09LS,30.8244,-91.3846,St Francisville,heliport
09MA,42.3043,-71.5059,Southborough,small_airport
09MD,39.5764,-79.3720,McHenry,heliport
09ME,43.3408,-70.8547,Berwick,small_airport
09MI,42.7081,-84.5608,Lansing,heliport
09MO,37.3784,-93.3633,Willard,small_airport
09MT,45.9093,-113.7632,Sula,small_airport
09N,41.8326,-73.8760,Staatsburg,small_airport
09NC,35.3293,-79.0300,Broadway,small_airport
09NE,41.3333,-96.1936,Bennington,small_airport
09NJ,40.6537,-74.6865,Somerville,heliport
09NR,35.6501,-79.6503,Ramseur,small_airport
09NV,35.9797,-115.1502,Henderson,heliport
09NY,41.9289,-74.0489,Kingston,heliport
09OH,39.8541,-84.2706,Englewood,heliport
09OK,36.3545,-95.8639,Collinsville,small_airport
09OR,45.5872,-121.1638,The Dalles,heliport
09PA,40.8270,-77.9881,Port Matilda,small_airport
09PN,40.5620,-75.1427,Kintersville,heliport
09S,48.8409,-117.2840,Metaline Falls,small_airport
K09T,33.2808,-97.4967,Decatur,small_airport
09TE,32.2629,-97.8638,Glen Rose,small_airport
09TN,35.9417,-83.9440,Knoxville,heliport
09TS,29.4824,-103.1650,Marathon,small_airport
09TX,30.7376,-102.0233,Sheffield,small_airport
